5.000000000000000000e+01,3.876248186068585824e+02
1.000000000000000000e+02,4.230898249781008644e+02
1.500000000000000000e+02,3.731862805624022599e+02
2.000000000000000000e+02,4.300558103316358824e+02
2.500000000000000000e+02,3.584689665786984278e+02
3.000000000000000000e+02,3.894932605321945971e+02
3.500000000000000000e+02,5.613207639131123869e+02
4.000000000000000000e+02,4.409104217411967852e+02
4.500000000000000000e+02,3.693954520564648192e+02
5.000000000000000000e+02,3.361800113034681772e+02
5.500000000000000000e+02,3.047950130825634005e+02
6.000000000000000000e+02,3.376225703355745509e+02
6.500000000000000000e+02,4.095387649539418362e+02
7.000000000000000000e+02,4.095387649539418362e+02
7.500000000000000000e+02,3.662308015445997285e+02
8.000000000000000000e+02,3.676003264416395950e+02
8.500000000000000000e+02,4.295136784783460371e+02
9.000000000000000000e+02,4.085400837127245950e+02
9.500000000000000000e+02,3.891580655723327027e+02
1.000000000000000000e+03,2.948643756034289254e+02
