5.000000000000000000e+01,3.410703107057220222e+02,2.277021366209180258e+02
1.000000000000000000e+02,2.757279535127014469e+02,3.321540629638957967e+02
1.500000000000000000e+02,3.599139424659124984e+02,3.071771258380653080e+02
2.000000000000000000e+02,4.413692747272049246e+02,6.268909515412269684e+02
2.500000000000000000e+02,4.289562248943223608e+02,3.622950192221699695e+02
3.000000000000000000e+02,3.174620968010307251e+02,3.940384587769870564e+02
3.500000000000000000e+02,3.973074368276606378e+02,4.568244717363564860e+02
4.000000000000000000e+02,4.066964172737532408e+02,3.045012374977136460e+02
4.500000000000000000e+02,3.641040501766116222e+02,4.359869008514598363e+02
5.000000000000000000e+02,3.816197830096896269e+02,4.210430320152149761e+02
5.500000000000000000e+02,3.257589587805865108e+02,3.770732511434257503e+02
6.000000000000000000e+02,4.724751473152566632e+02,4.405415532064014315e+02
6.500000000000000000e+02,3.615095414434666736e+02,3.626522446862666129e+02
7.000000000000000000e+02,3.799654272949439360e+02,4.748691907205063103e+02
7.500000000000000000e+02,4.689187815125721386e+02,-1.000000000000000000e+00
8.000000000000000000e+02,5.684449862747126190e+02,4.564269511970903750e+02
8.500000000000000000e+02,4.584231684679498358e+02,-1.000000000000000000e+00
9.000000000000000000e+02,3.597110067684727710e+02,4.594934250872016719e+02
9.500000000000000000e+02,3.916168189009068783e+02,8.643925027871482598e+02
1.000000000000000000e+03,4.039969065872199963e+02,5.751914066632929234e+02
